subject,topic,subtopic,importance
JavaScript,Basics of JavaScript,"Variables (var, let, const)",10
JavaScript,Basics of JavaScript,"Operators (Arithmetic, Comparison, Logical)",9
JavaScript,Basics of JavaScript,Type Conversion and Coercion,9
JavaScript,Basics of JavaScript,Truthy and Falsy Values,9
JavaScript,Control Flow,"Conditionals (if, else, switch)",10
JavaScript,Control Flow,"Loops (for, while, do-while)",9
JavaScript,Control Flow,"Error Handling (try, catch, finally, throw)",10
JavaScript,Functions,Function Declarations and Expressions,10
JavaScript,Functions,Arrow Functions,9
JavaScript,Functions,"Function Scope (var, let, const)",10
JavaScript,Functions,Closures,10
JavaScript,Functions,Higher-Order Functions,9
JavaScript,Functions,IIFE (Immediately Invoked Function Expression),8
JavaScript,Functions,Callbacks,9
JavaScript,Functions,Rest Parameters and Spread Syntax,9
JavaScript,Objects and Prototypes,"Object Creation (literals, constructors)",10
JavaScript,Objects and Prototypes,Prototypes and Prototypal Inheritance,10
JavaScript,Objects and Prototypes,this keyword and Context,10
JavaScript,Objects and Prototypes,Factory Functions and Constructors,9
JavaScript,Arrays,"Array Methods (map, filter, reduce, etc.)",10
JavaScript,Arrays,"Array Iteration Methods (forEach, map)",9
JavaScript,Arrays,Spread and Rest Operators,9
JavaScript,Arrays,Mutating vs Non-Mutating Array Methods,9
JavaScript,Asynchronous JavaScript,Promises,10
JavaScript,Asynchronous JavaScript,Async/Await,10
JavaScript,Asynchronous JavaScript,Event Loop and Callback Queue,10
JavaScript,Asynchronous JavaScript,Microtasks and Macrotasks,9
JavaScript,Asynchronous JavaScript,Fetch API,9
JavaScript,DOM Manipulation,"DOM Traversing (getElementById, querySelector)",9
JavaScript,DOM Manipulation,"DOM Events (click, input, etc.)",10
JavaScript,DOM Manipulation,Event Delegation,9
JavaScript,DOM Manipulation,Event Bubbling and Capturing,9
JavaScript,DOM Manipulation,"Modifying DOM (createElement, innerHTML)",9
JavaScript,ES6+ Features,"Let, Const, and Block Scope",10
JavaScript,ES6+ Features,"Destructuring (Objects, Arrays)",9
JavaScript,ES6+ Features,Spread and Rest Operators,9
JavaScript,ES6+ Features,Arrow Functions,9
JavaScript,ES6+ Features,Modules (import/export),9
JavaScript,Classes and OOP,"Class Syntax (constructor, methods)",9
JavaScript,Classes and OOP,Inheritance and extends,9
JavaScript,Event Loop & Concurrency,Call Stack,9
JavaScript,Event Loop & Concurrency,Task Queue,9
JavaScript,Event Loop & Concurrency,Microtasks vs Macrotasks,9
JavaScript,Event Loop & Concurrency,Event Loop,10
JavaScript,Web APIs,Fetch API,9
JavaScript,Performance Optimization,Debouncing and Throttling,9
JavaScript,Performance Optimization,Event Loop Performance,9
