subject,topic,subtopic,importance
FastAPI,Routing,Path Operations (Basic CRUD),10
FastAPI,Routing,Path and Query Parameters,10
FastAPI,Routing,Dynamic Path Parameters,9
FastAPI,Request Handling,Request Body with Pydantic Models,10
FastAPI,Request Handling,Handling Form and Multipart Data,8
FastAPI,Request Handling,Headers and Cookies,8
FastAPI,Response Handling,JSON Responses,9
FastAPI,Response Handling,Custom Response Models,9
FastAPI,Response Handling,HTTP Status Codes,9
FastAPI,Data Validation,Pydantic Model Validation,10
FastAPI,Data Validation,Nested Models and Complex Validation,9
FastAPI,Error Handling,Exception Handling (HTTPException),10
FastAPI,Error Handling,Custom Error Responses,9
FastAPI,Dependency Injection,Dependency Injection System,10
FastAPI,Dependency Injection,Handling Sub-Dependencies,8
FastAPI,Security,OAuth2 with Password Flow (JWT),10
FastAPI,Security,CORS Management,8
FastAPI,Authentication,JWT Authentication with OAuth2,10
FastAPI,Authentication,Password Hashing and Best Practices,9
FastAPI,Asynchronous Programming,Async & Await Usage,10
FastAPI,Asynchronous Programming,Async Database Operations (with SQLAlchemy/Tortoise ORM),9
FastAPI,Database Integration,SQL Database Integration (SQLAlchemy),10
FastAPI,Database Integration,Handling Transactions and Sessions,9
FastAPI,Testing,Unit Testing with FastAPI,9
FastAPI,Testing,TestClient for Integration Testing,9
FastAPI,Deployment,Deploying with Uvicorn/Gunicorn,10
FastAPI,Deployment,Dockerizing FastAPI Applications,9
