subject,topic,subtopic,importance
Kubernetes,Kubernetes Fundamentals,Kubernetes CLI (kubectl) Basics,10
Kubernetes,Kubernetes Core Concepts,Pods and Pod Lifecycle,10
Kubernetes,Kubernetes Core Concepts,ReplicaSets and Deployments,10
Kubernetes,Kubernetes Core Concepts,"Services (ClusterIP, NodePort, LoadBalancer)",9
Kubernetes,Kubernetes Core Concepts,ConfigMaps and Secrets,9
Kubernetes,Kubernetes Core Concepts,Persistent Volumes (PVs) and Persistent Volume Claims (PVCs),9
Kubernetes,Kubernetes Core Concepts,StatefulSets,8
Kubernetes,Kubernetes Core Concepts,DaemonSets,8
Kubernetes,Kubernetes Core Concepts,Jobs and CronJobs,8
Kubernetes,Kubernetes Networking,Ingress Controllers and Ingress Resources,9
Kubernetes,Kubernetes Security,Role-Based Access Control (RBAC),9
Kubernetes,Kubernetes Security,Secrets Management,9
Kubernetes,Kubernetes Security,Kubernetes Security Contexts,8
Kubernetes,Kubernetes Scaling and Monitoring,Horizontal Pod Autoscaling (HPA),9
Kubernetes,Kubernetes Scaling and Monitoring,Vertical Pod Autoscaling (VPA),8
Kubernetes,Kubernetes Scaling and Monitoring,Cluster Autoscaling,8
Kubernetes,Kubernetes Scaling and Monitoring,"Troubleshooting (kubectl logs, describe, etc.)",9
Kubernetes,Kubernetes Advanced Concepts,Helm and Package Management,9
Kubernetes,Kubernetes Advanced Concepts,Operators and Custom Resource Definitions (CRDs),8
Kubernetes,Kubernetes Advanced Concepts,Kubernetes API and Controller Development,8
Kubernetes,Kubernetes Advanced Concepts,Kustomize,8
Kubernetes,CI/CD Integration,Docker and Kubernetes in CI/CD Pipelines,10
Kubernetes,CI/CD Integration,GitHub Actions Integration,9
Kubernetes,CI/CD Integration,Building and Deploying Applications to Kubernetes,9
