subject,topic,subtopic,importance
Apache Airflow (Python),DAG Authoring & Scheduling,DAG Structure & Syntax,10
Apache Airflow (Python),DAG Authoring & Scheduling,Task Dependencies & Trigger Rules,10
Apache Airflow (Python),DAG Authoring & Scheduling,"Scheduling with Intervals, Cron, Custom Timetables",10
Apache Airflow (Python),DAG Authoring & Scheduling,"Retry, SLA, Timeout, Priority Weights",9
Apache Airflow (Python),DAG Authoring & Scheduling,TaskFlow API (Functional DAGs),9
Apache Airflow (Python),DAG Authoring & Scheduling,"Backfill, Catchup, Execution Dates",8
Apache Airflow (Python),Operators & Sensors,"Core Operators (Python, Bash, Branch, etc.)",10
Apache Airflow (Python),Operators & Sensors,"Sensors (ExternalTaskSensor, TimeSensor, etc.)",9
Apache Airflow (Python),Operators & Sensors,Deferrable Operators (Async),9
Apache Airflow (Python),Operators & Sensors,"Control Flow Operators (e.g., ShortCircuit)",8
Apache Airflow (Python),Data Sharing & Logic,"XComs (Push/Pull, Custom Serialization)",9
Apache Airflow (Python),Data Sharing & Logic,Conditional Execution Logic,8
Apache Airflow (Python),Extending Airflow,Creating Custom Operators,9
Apache Airflow (Python),Extending Airflow,Writing Custom Hooks & Sensors,8
Apache Airflow (Python),Extending Airflow,"Plugin System (UI, Hooks, Operators, Macros)",8
Apache Airflow (Python),Testing & Debugging,Unit Testing DAGs & Operators,9
Apache Airflow (Python),Testing & Debugging,Debugging via Logs & Local Execution,9
Apache Airflow (Python),Deployment & CI/CD,CI/CD Pipelines for DAG Promotion,9
Apache Airflow (Python),AWS Integrations,"S3, EMR, Redshift, Lambda, ECS Operators",10
Apache Airflow (Python),AWS Integrations,AWS Secrets Manager & SSM,9
Apache Airflow (Python),AWS Integrations,External Databases & REST APIs,8
Apache Airflow (Python),Performance & Scaling,"Pools, Queues, Parallelism",9
Apache Airflow (Python),Performance & Scaling,DAG Performance Optimization,8
Apache Airflow (Python),Production Best Practices,Production-Grade DAG Design,10
Apache Airflow (Python),Production Best Practices,Modular Code & Reusability,9
Apache Airflow (Python),Production Best Practices,Anti-Patterns to Avoid,9
Apache Airflow (Python),Production Best Practices,Idempotency & Recovery Patterns,9
