subject,topic,subtopic,content,importance
Kubernetes,Kubernetes Basics,Writing and Executing kubectl Commands,,10
Kubernetes,Kubernetes Core Components,Working with Pods & Pod Lifecycle,,10
Kubernetes,Kubernetes Core Components,Creating & Managing Deployments and ReplicaSets,,10
Kubernetes,Kubernetes Core Components,"Writing Kubernetes YAML Manifests (Pods, Deployments, Services)",,10
Kubernetes,Kubernetes Core Components,"Services in Kubernetes (ClusterIP, NodePort, LoadBalancer)",,9
Kubernetes,Kubernetes Core Components,Using ConfigMaps & Secrets for Environment Variables,,9
Kubernetes,Kubernetes Core Components,Persistent Volumes (PVs) & Persistent Volume Claims (PVCs),,9
Kubernetes,Kubernetes Workloads,StatefulSets vs Deployments,,9
Kubernetes,Kubernetes Workloads,Running DaemonSets for Background Services,,8
Kubernetes,Kubernetes Workloads,Scheduling Jobs and CronJobs,,8
Kubernetes,Kubernetes Networking,Writing & Applying Network Policies,,8
Kubernetes,Kubernetes Networking,Using Ingress Controllers for Traffic Routing,,9
Kubernetes,Debugging & Troubleshooting Kubernetes,"Debugging Containers & Pods (Logs, Inspect, CrashLoopBackOff)",,10
Kubernetes,Kubernetes Scaling & Autoscaling,Writing Horizontal Pod Autoscaler (HPA),,9
Kubernetes,Kubernetes Scaling & Autoscaling,Configuring Vertical Pod Autoscaler (VPA),,8
Kubernetes,Kubernetes Monitoring & Logging,Monitoring with Prometheus & Grafana,,9
Kubernetes,Kubernetes Customization & Advanced Topics,Using Helm for Application Packaging & Deployment,,9
Kubernetes,Kubernetes Customization & Advanced Topics,Operators & Custom Resource Definitions (CRDs),,8
Kubernetes,CI/CD with Docker & Kubernetes,Automating Builds & Deployments with Docker & Kubernetes,,10
Kubernetes,CI/CD with Docker & Kubernetes,Writing Kubernetes Deployment Pipelines in GitHub Actions/Jenkins,,9
